Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 1.99 ms | MediaPipe: 127.19 ms | Show: 49.50 ms
Capture: 1.01 ms | MediaPipe: 44.76 ms | Show: 0.00 ms
Capture: 4.67 ms | MediaPipe: 96.38 ms | Show: 0.00 ms
Capture: 0.92 ms | MediaPipe: 104.64 ms | Show: 1.09 ms
Capture: 1.02 ms | MediaPipe: 100.28 ms | Show: 0.99 ms
Capture: 0.00 ms | MediaPipe: 67.82 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 46.84 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 81.94 ms | Show: 0.00 ms
Capture: 1.96 ms | MediaPipe: 30.74 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 76.47 ms | Show: 0.00 ms
Capture: 1.93 ms | MediaPipe: 82.86 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 29.46 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 68.48 ms | Show: 0.99 ms
Capture: 0.00 ms | MediaPipe: 92.95 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 43.59 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 86.51 ms | Show: 0.00 ms
Capture: 2.08 ms | MediaPipe: 100.35 ms | Show: 1.00 ms
Capture: 0.53 ms | MediaPipe: 44.35 ms | Show: 0.00 ms
Capture: 0.64 ms | MediaPipe: 86.77 ms | Show: 1.00 ms
Capture: 1.00 ms | MediaPipe: 33.26 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 94.56 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 79.78 ms | Show: 0.00 ms
Capture: 0.95 ms | MediaPipe: 55.17 ms | Show: 0.00 ms
Capture: 2.13 ms | MediaPipe: 33.09 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 74.84 ms | Show: 5.01 ms
Capture: 1.05 ms | MediaPipe: 91.64 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 56.89 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 61.60 ms | Show: 1.05 ms
Capture: 1.21 ms | MediaPipe: 35.76 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 96.75 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 38.50 ms | Show: 0.00 ms
Capture: 0.89 ms | MediaPipe: 60.68 ms | Show: 0.00 ms
Capture: 2.16 ms | MediaPipe: 57.40 ms | Show: 1.00 ms
Capture: 2.03 ms | MediaPipe: 76.56 ms | Show: 0.00 ms
Capture: 0.96 ms | MediaPipe: 73.87 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 59.43 ms | Show: 0.99 ms
Capture: 0.95 ms | MediaPipe: 31.61 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 29.01 ms | Show: 0.00 ms
Capture: 0.53 ms | MediaPipe: 52.54 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 44.62 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 79.47 ms | Show: 0.00 ms
Capture: 0.54 ms | MediaPipe: 52.08 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 117.50 ms | Show: 0.00 ms
Capture: 1.64 ms | MediaPipe: 39.92 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 49.26 ms | Show: 0.97 ms
Capture: 0.00 ms | MediaPipe: 87.32 ms | Show: 0.00 ms
Capture: 0.19 ms | MediaPipe: 93.32 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 52.62 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 55.59 ms | Show: 1.02 ms
Capture: 0.00 ms | MediaPipe: 56.78 ms | Show: 0.00 ms
Capture: 0.79 ms | MediaPipe: 49.16 ms | Show: 0.00 ms
Capture: 0.62 ms | MediaPipe: 53.02 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.70 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 115.45 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 48.83 ms | Show: 0.00 ms
Capture: 0.39 ms | MediaPipe: 108.77 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 47.10 ms | Show: 0.00 ms
Capture: 1.09 ms | MediaPipe: 42.17 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.61 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 45.32 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 65.78 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 50.47 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 102.38 ms | Show: 0.00 ms
Capture: 2.06 ms | MediaPipe: 117.80 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 100.38 ms | Show: 0.00 ms
Capture: 1.02 ms | MediaPipe: 68.68 ms | Show: 3.78 ms
Capture: 0.87 ms | MediaPipe: 75.18 ms | Show: 0.00 ms
Capture: 0.87 ms | MediaPipe: 48.85 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 57.88 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 72.32 ms | Show: 0.00 ms
Capture: 0.96 ms | MediaPipe: 69.95 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 53.73 ms | Show: 0.88 ms
