Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 588.76 ms | MediaPipe: 39.81 ms | Show: 27.73 ms
Capture: 4.00 ms | MediaPipe: 60.34 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 54.80 ms | Show: 0.00 ms
Capture: 4.93 ms | MediaPipe: 67.15 ms | Show: 0.00 ms
Capture: 3.05 ms | MediaPipe: 66.87 ms | Show: 0.00 ms
Capture: 1.95 ms | MediaPipe: 71.46 ms | Show: 1.03 ms

FPS: 6 | Hand FPS: 0 | No-Hand FPS: 6

Capture: 1.99 ms | MediaPipe: 50.19 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 60.62 ms | Show: 0.00 ms
Capture: 5.47 ms | MediaPipe: 50.60 ms | Show: 0.00 ms
Capture: 2.43 ms | MediaPipe: 52.68 ms | Show: 0.00 ms
Capture: 4.62 ms | MediaPipe: 53.09 ms | Show: 0.00 ms
Capture: 1.71 ms | MediaPipe: 51.44 ms | Show: 0.00 ms
Capture: 2.51 ms | MediaPipe: 49.40 ms | Show: 0.00 ms
Capture: 3.05 ms | MediaPipe: 56.79 ms | Show: 0.00 ms
Capture: 5.01 ms | MediaPipe: 34.25 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 35.19 ms | Show: 0.00 ms
Capture: 2.05 ms | MediaPipe: 32.41 ms | Show: 0.72 ms
Capture: 2.00 ms | MediaPipe: 34.20 ms | Show: 0.00 ms
Capture: 1.78 ms | MediaPipe: 49.51 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 48.26 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 38.36 ms | Show: 0.00 ms
Capture: 3.03 ms | MediaPipe: 34.34 ms | Show: 0.00 ms
Capture: 2.02 ms | MediaPipe: 33.18 ms | Show: 0.00 ms

FPS: 17 | Hand FPS: 0 | No-Hand FPS: 17

Capture: 3.00 ms | MediaPipe: 58.56 ms | Show: 0.00 ms
